全唐诗分卷目录

巴斯光年 整理


卷791  韩愈 孟郊 张籍 张彻 李翱 李正封 刘师服 侯喜 轩辕弥明 贾岛 高丽使
卷792  张祜 杜牧 赵嘏 段成式 张希复 郑符 升上人
卷793  皮日休 陆龟蒙 张贲 嵩起（失姓） 安守范 杨鼎夫 周述 李仁肇
卷794  清昼 潘述 汤衡 裴济 王遘 齐翔 李纵 崔子向 郑说 陆士修 李令从 疾（失姓） 澄（失姓） 严伯均 巨川（失姓） 从心（失姓） 杭（失姓） 卢藻 卢幼平 陆羽 李恂 郑述诚 （失姓）惸 崔逵 崔万 韩章 杨秦卿 仲文（失姓） 顾况 郑遨 罗隐之
卷795  李日知（以下句） 赵仁奖 郭廷谓 韦青 尉迟匡 何涓 杜伟 申堂构 周愿 第五琦 颜允南 季广琛 陈蜕 卫准 杜鸿渐 李挚 韦绶 冯戡 韩泰 卢并 缪岛云 刘敬之 李涛 高元裕 韦澳 王龟 李郁 詹雄 任涛 剧燕 王璘 李蔚 王枳 郑賨 张茔 吴霭 陈咏 蒋密 苻蒙 李景遂 李弘茂 李平 胡元龟 蒋钧 史虚白 夏宝松 赵庆 潘天锡 朱勰 齐镐 黄可 高元矩 陈贶 赵休 庸仁杰 邵拙 毛炳 陈德诚 陈甫 徐融 高若拙 皮光业 屠瓌智 元德昭 林无隐 杨义方 王廷珪 欧阳彬 李尧夫 石文德 戴偃 张迥 钟元章 杨凫 王俊 薛沆 张𫖮 张林 卢休 陈峤 李范 卞震 林楚才 孟不疑 庞季子 郭思 卢载 郑翱 郑说 史瑜 贺公 米都知 陈秀才 崔李二生 范氏子 临川小吏 韩熙载客 段义宗
卷796  无名氏（句）
卷797  武后宫人（以下名嫒） 开元宫人 天宝宫人 德宗宫人 宣宗宫人 僖宗宫人 李舜弦 李玉箫 金真德 宝历宫人
卷798  花蕊夫人
卷799  杨容华 魏氏 乔氏 七岁女子 林氏 赵氏 郭绍兰 王韫秀 张夫人 王氏 裴淑 赵氏 张氏 薛馧 杨德麟 崔氏 陈玉兰 薛媛 孙氏 张立本女 侯氏 慎氏 薛瑶 王霞卿 窦梁宾 任氏 黄崇嘏 蒋氏 周仲美 张文姬 程长文
卷800  柳氏 程洛宾 红绡妓 晁采 崔莺莺 步非烟 崔紫云 姚月华 孟氏 赵氏 李节度姬 崔素娥 鲍家四弦 韩续姬
卷801  郎大家宋氏 梁琼 刘云 崔萱 崔仲容 崔公远 张琰 裴羽先 刘媛 葛鵶儿 刘瑶 廉氏 田娥 刘淑柔 薛琼 赵虚舟 张瑛 长孙佐转妻 刘元载妻 刘氏妇 葛氏女 李主簿姬 京兆女子 湘驿女子 若耶溪女子 谁氏女 光（失姓） 威（失姓） 裒（失姓） 越溪杨女 曹文姬
卷802  关盼盼 刘采春 太原妓 武昌妓 舞柘枝女 常浩 襄阳妓 王福娘 杨莱儿 楚儿 王苏苏 颜令宾 张窈窕 平康妓 史凤 盛小丛 赵鸾鸾 莲花妓 徐月英 韩襄客
卷803  薛涛
卷804  鱼玄机
卷805  李冶 元淳 海印
卷806  寒山（以下僧）
卷807  拾得 丰干
卷808  慧宣 法宣 惠偘 慧净 海顺 道恭 辨才 僧凤 利涉 道会 中寤 义净 宝月 景云 理莹 金地藏 怀素
卷809  灵一
卷810  灵澈 大易 法照 释泚 庞蕴
卷811  护国 法振
卷812  清江
卷813-814  无可
卷815-821  皎然
卷822  广宣
卷823  含曦 善生 韬光 知玄 元孚 栖白 应物 智亮 良乂 常达 僧鸾 神颖 澹交 文秀 怀楚 耽章
卷824  子兰
卷825  可止 云表 归仁 卿云 隐峦 泠然 大愚 怀濬 恒超 净显 修雅 元寂 若虚 文益 无则 谦光
卷826-837  贯休
卷838-847  齐己
卷848  尚颜 虚中 栖蟾
